algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
GNRPA,1000,9,60,0.7368333333333335,0.07581926609451656,57.913108992576596,0.837,"[('AKT2', True), ('ECMicroenv', False), ('DNAdamage', False), ('CTNNB1', True), ('TGFbeta', True), ('SNAI1', True), ('TWIST1', True), ('Metastasis', True), ('ZEB1', True)]"
NMCS,1000,10,60,0.6983,0.04876142601141464,60.172099113464355,0.78,"[('AKT1', True), ('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('ECMicroenv', True), ('Migration', False), ('SNAI1', True), ('VIM', False), ('ZEB1', True), ('miR200', False)]"
LNMCS,1000,10,60,0.6972,0.056334161729609276,60.13028600215912,0.7863333333333334,"[('CDH1', False), ('DNAdamage', False), ('ECMicroenv', True), ('GF', False), ('SNAI2', True), ('TWIST1', False), ('TWIST1', True), ('miR200', False), ('p21', True), ('p73', False)]"
BILNMCS,1000,10,60,0.7814,0.0439076303163812,60.19706530570984,0.836,"[('AKT1', True), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('ERK', True), ('Metastasis', False), ('SNAI1', True), ('SNAI2', True), ('VIM', True), ('p63', False)]"
NRPA,1000,10,60,0.7785666666666666,0.058477355541364164,60.18240144252777,0.9013333333333333,"[('CTNNB1', True), ('DKK1', True), ('DNAdamage', False), ('GF', True), ('SNAI1', True), ('SNAI2', True), ('TGFbeta', True), ('ZEB1', True), ('ZEB2', True), ('p21', True)]"
GNRPA,1000,10,60,0.7397,0.08146389111474825,60.25075147151947,0.8546666666666667,"[('SNAI1', True), ('Metastasis', True), ('AKT2', True), ('ECMicroenv', False), ('p73', False), ('SNAI2', True), ('CTNNB1', True), ('p63', False), ('p21', True), ('SMAD', True)]"
NMCS,1000,4,90,0.6410666666666667,0.047169151877990034,90.16458556652069,0.7520000000000001,"[('AKT2', True), ('CTNNB1', True), ('NICD', True), ('SMAD', True)]"
LNMCS,1000,4,90,0.7143333333333334,0.02512678959906253,90.21772100925446,0.7493333333333335,"[('CTNNB1', True), ('NICD', True), ('SMAD', True), ('SNAI2', True)]"
BILNMCS,1000,4,90,0.7042400000000001,0.025225510896709283,89.36344904899597,0.7352,"[('SMAD', True), ('SNAI2', True), ('TWIST1', True), ('miR200', False)]"
NRPA,1000,4,90,0.7138666666666666,0.03709093929489758,90.17642326354981,0.7826666666666666,"[('CTNNB1', True), ('ECMicroenv', True), ('SNAI1', True), ('ZEB2', True)]"
GNRPA,1000,4,90,0.7149333333333334,0.04944060409555424,81.41151521205902,0.7926666666666667,"[('CTNNB1', True), ('ZEB2', True), ('NICD', True), ('SNAI1', True)]"
NMCS,1000,5,90,0.6355666666666667,0.04071310190426011,90.17341825962066,0.7016666666666669,"[('AKT2', True), ('SNAI1', True), ('SNAI2', True), ('p21', True), ('p63', False)]"
LNMCS,1000,5,90,0.6934666666666669,0.05098588039840044,90.22057819366455,0.7686666666666668,"[('CTNNB1', True), ('ECMicroenv', True), ('SMAD', True), ('SNAI1', True), ('miR200', False)]"
BILNMCS,1000,5,90,0.7710800000000001,0.04535373854490941,90.20302500724793,0.8664000000000001,"[('AKT2', True), ('CTNNB1', True), ('NICD', True), ('SMAD', True), ('SNAI1', True)]"
NRPA,1000,5,90,0.7365666666666668,0.06928171957065345,90.16771411895752,0.8436666666666666,"[('CTNNB1', True), ('GF', True), ('NICD', True), ('SMAD', True), ('SNAI1', True)]"
GNRPA,1000,5,90,0.7192666666666667,0.04102487050558476,83.36937286853791,0.7666666666666667,"[('CTNNB1', True), ('TWIST1', True), ('NICD', True), ('TGFbeta', True), ('p73', False)]"
NMCS,1000,6,90,0.6778,0.05795308447356359,90.2397668838501,0.774,"[('AKT1', True), ('CTNNB1', True), ('ECMicroenv', True), ('NICD', True), ('SNAI1', True), ('p63', False)]"
